img_id,rle_mask
10,176002 24 176514 24 177020 38 177532 38 178042 44 178104 6 178554 44 178616 6 179066 74 179578 74 180088 78 180600 78 181112 78 181624 78 182138 76 182650 76 183162 78 183674 78 184188 76 184700 76 185228 60 185740 60 186264 48 186776 48 187296 40 187808 40 188328 32 188840 32 189358 26 189870 26 190388 20 190900 20 191416 14 191928 14 192444 8 192956 8
11,144288 10 144800 10 145310 16 145822 16 146332 20 146844 20 147356 20 147868 20 148378 24 148890 24 149402 24 149914 24 150426 26 150938 26 151450 26 151962 26 152476 24 152988 24 153500 26 154012 26 154524 26 155036 26 155548 26 156060 26 156572 28 157084 28 157596 28 158108 28 158622 26 159134 26 159646 24 160158 24 160670 24 161182 24 161696 22 162208 22 162720 22 163232 22 163746 20 164258 20 164770 22 165282 22 165794 22 166306 22 166820 20 167332 20 167844 22 168356 22 168868 22 169380 22 169894 22 170406 22 170918 22 171430 22 171942 24 172454 24 172966 24 173478 24 173990 26 174502 26 175016 24 175528 24 176040 24 176552 24 177064 26 177576 26 178090 24 178602 24 179114 24 179626 24 180138 26 180650 26 181164 24 181676 24 182188 26 182700 26 183212 26 183724 26 184238 24 184750 24 185262 24 185774 24 186286 26 186798 26 187312 24 187824 24 188336 24 188848 24 189360 26 189872 26 190384 26 190896 26 191410 26 191922 26 192434 26 192946 26 193458 26 193970 26 194482 28 194994 28 195508 26 196020 26 196532 26 197044 26 197556 26 198068 26 198582 24 199094 24 199608 20 200120 20 200632 18 201144 18 201658 14 202170 14 202686 8 203198 8
12,177950 4 178462 4 178972 6 179484 6 179998 2 180510 2
13,76510 12 77022 12 77532 16 78044 16 78552 22 79064 22 79574 24 80086 24 80598 26 81110 26 81620 28 82132 28 82642 32 83154 32 83666 30 84178 30 84688 32 85200 32 85710 32 86222 32 86734 32 87246 32 87756 32 88268 32 88778 30 89290 30 89800 30 90312 30 90822 30 91334 30 91842 32 92354 32 92864 32 93376 32 93884 34 94396 34 94906 32 95418 32 95928 32 96440 32 96950 32 97462 32 97972 32 98484 32 98994 32 99506 32 100016 32 100528 32 101038 32 101550 32 102062 30 102574 30 103084 30 103596 30 104108 28 104620 28 105130 30 105642 30 106154 28 106666 28 107176 28 107688 28 108200 26 108712 26 109222 26 109734 26 110242 28 110754 28 111260 32 111772 32 112280 34 112792 34 113302 32 113814 32 114324 28 114836 28 115346 26 115858 26 116372 22 116884 22 117396 20 117908 20 118422 16 118934 16 119448 12 119960 12 120474 8 120986 8 121500 2 122012 2
14,79838 6 80350 6 80858 12 81370 12 81880 16 82392 16 82902 20 83414 20 83926 20 84438 20 84948 22 85460 22 85970 22 86482 22 86994 22 87506 22 88018 22 88530 22 89042 22 89554 22 90066 22 90578 22 91088 22 91600 22 92112 22 92624 22 93136 22 93648 22 94160 22 94672 22 95184 20 95696 20 96208 20 96720 20 97232 20 97744 20 98256 18 98768 18 99280 18 99792 18 100302 20 100814 20 101326 20 101838 20 102348 22 102860 22 103372 22 103884 22 104396 20 104908 20 105420 20 105932 20 106444 20 106956 20 107466 22 107978 22 108490 20 109002 20 109514 20 110026 20 110538 20 111050 20 111562 20 112074 20 112586 18 113098 18 113608 20 114120 20 114632 20 115144 20 115656 20 116168 20 116680 20 117192 20 117702 22 118214 22 118726 20 119238 20 119750 20 120262 20 120774 20 121286 20 121796 22 122308 22 122820 22 123332 22 123844 22 124356 22 124870 18 125382 18 125894 18 126406 18 126920 16 127432 16 127946 12 128458 12 128972 8 129484 8
15,164600 10 165112 10 165622 14 166134 14 166644 16 167156 16 167666 18 168178 18 168688 20 169200 20 169712 18 170224 18 170734 18 171246 18 171756 20 172268 20 172778 20 173290 20 173802 18 174314 18 174824 18 175336 18 175846 18 176358 18 176870 16 177382 16 177892 18 178404 18 178916 16 179428 16 179940 14 180452 14 180966 12 181478 12 181990 10 182502 10
16,98038 10 98550 10 99058 16 99570 16 100080 20 100592 20 101098 26 101610 26 102116 32 102628 32 103132 40 103644 40 104152 42 104664 42 105174 40 105686 40 106196 38 106708 38 107218 32 107730 32 108242 24 108754 24 109268 10 109780 10
17,168534 14 169046 14 169554 26 170066 26 170574 34 171086 34 171598 34 172110 34 172620 38 173132 38 173644 38 174156 38 174668 38 175180 38 175692 38 176204 38 176716 38 177228 38 177740 38 178252 38 178764 38 179276 38 179788 38 180300 38 180812 38 181324 38 181836 38 182348 38 182860 38 183372 38 183884 38 184396 38 184910 36 185422 36 185934 36 186446 36 186958 36 187470 36 187982 38 188494 38 189006 38 189518 38 190030 38 190542 38 191054 38 191566 38 192078 38 192590 38 193102 38 193614 38 194126 38 194638 38 195150 38 195662 38 196174 38 196686 38 197198 38 197710 38 198222 38 198734 38 199246 38 199758 38 200270 38 200782 38 201294 38 201806 38 202318 36 202830 36 203342 36 203854 36 204366 36 204878 36 205390 36 205902 36 206414 36 206926 36 207438 36 207950 36 208462 36 208974 36 209486 36 209998 36 210510 36 211022 36 211534 36 212046 36 212558 36 213070 36 213582 36 214094 36 214608 34 215120 34 215632 34 216144 34 216656 34 217168 34 217680 34 218192 34 218704 34 219216 34 219728 34 220240 34 220752 34 221264 34 221776 34 222288 34 222800 36 223312 36 223824 36 224336 36 224848 36 225360 36 225872 36 226384 36 226896 36 227408 36 227920 36 228432 36 228944 36 229456 36 229968 36 230480 36 230992 36 231504 36 232016 34 232528 34 233040 34 233552 34 234064 34 234576 34 235088 32 235600 32 236112 32 236624 32 237138 28 237650 28 238162 26 238674 26 239188 22 239700 22 240216 16 240728 16
18,201662 6 202174 6 202684 12 203196 12 203706 16 204218 16 204730 16 205242 16 205752 18 206264 18 206776 18 207288 18 207800 18 208312 18 208824 18 209336 18 209848 18 210360 18 210872 18 211384 18 211898 16 212410 16 212922 16 213434 16 213946 16 214458 16 214970 16 215482 16 215994 18 216506 18 217018 18 217530 18 218042 18 218554 18 219066 18 219578 18 220090 18 220602 18 221114 18 221626 18 222138 18 222650 18 223162 18 223674 18 224186 18 224698 18 225210 18 225722 18 226234 18 226746 18 227258 18 227770 18 228282 18 228794 18 229306 18 229818 18 230330 18 230842 18 231354 18 231866 18 232378 18 232890 18 233404 14 233916 14 234430 10 234942 10 235456 4 235968 4
19,89976 4 90488 4 90994 24 91034 14 91506 24 91546 14 92014 62 92526 62 93036 78 93548 78 94060 98 94572 98 95082 102 95594 102 96106 104 96618 104 97132 102 97644 102 98156 102 98668 102 99180 102 99692 102 100206 100 100718 100 101230 100 101742 100 102254 98 102766 98 103280 94 103792 94 104304 90 104816 90 105328 84 105840 84 106354 78 106866 78 107380 70 107892 70 108412 30 108924 30
20,156568 10 157080 10 157590 16 158102 16 158612 22 159124 22 159634 26 160146 26 160658 30 161170 30 161682 32 162194 32 162706 36 163218 36 163732 36 164244 36 164758 38 165270 38 165786 38 166298 38 166814 40 167326 40 167842 42 168354 42 168870 42 169382 42 169898 40 170410 40 170926 36 171438 36 171954 34 172466 34 172982 30 173494 30 174010 24 174522 24 175038 20 175550 20 176064 16 176576 16 177090 12 177602 12 178118 4 178630 4
21,43714 10 44226 10 44736 14 45248 14 45758 18 46270 18 46782 18 47294 18 47804 20 48316 20 48828 20 49340 20 49852 20 50364 20 50874 20 51386 20 51898 20 52410 20 52922 20 53434 20 53946 18 54458 18 54970 18 55482 18 55992 20 56504 20 57016 18 57528 18 58040 18 58552 18 59064 18 59576 18 60088 16 60600 16 61110 18 61622 18 62134 18 62646 18 63158 18 63670 18 64182 16 64694 16 65204 18 65716 18 66228 18 66740 18 67252 16 67764 16 68274 18 68786 18 69298 18 69810 18 70322 16 70834 16 71344 18 71856 18 72368 18 72880 18 73390 18 73902 18 74414 18 74926 18 75438 18 75950 18 76460 20 76972 20 77484 18 77996 18 78508 18 79020 18 79532 18 80044 18 80554 20 81066 20 81578 20 82090 20 82602 18 83114 18 83626 18 84138 18 84648 20 85160 20 85672 20 86184 20 86696 18 87208 18 87718 20 88230 20 88742 18 89254 18 89766 18 90278 18 90788 20 91300 20 91812 18 92324 18 92836 18 93348 18 93860 16 94372 16 94884 16 95396 16 95910 12 96422 12
22,65158 8 65670 8 66174 18 66686 18 67192 26 67704 26 68204 38 68716 38 69222 44 69734 44 70242 46 70754 46 71262 50 71774 50 72286 46 72798 46 73308 44 73820 44 74332 38 74844 38 75358 30 75870 30 76384 20 76896 20 77412 6 77924 6
23,64188 8 64700 8 65210 14 65722 14 66232 20 66744 20 67256 22 67768 22 68280 24 68792 24 69306 24 69818 24 70330 26 70842 26 71354 28 71866 28 72380 28 72892 28 73404 32 73916 32 74430 32 74942 32 75456 32 75968 32 76482 32 76994 32 77508 32 78020 32 78532 34 79044 34 79558 34 80070 34 80584 34 81096 34 81610 34 82122 34 82636 34 83148 34 83662 34 84174 34 84688 34 85200 34 85714 32 86226 32 86740 32 87252 32 87766 32 88278 32 88794 32 89306 32 89820 32 90332 32 90848 30 91360 30 91874 32 92386 32 92902 32 93414 32 93930 30 94442 30 94956 30 95468 30 95984 28 96496 28 97012 26 97524 26 98038 26 98550 26 99064 26 99576 26 100088 28 100600 28 101114 28 101626 28 102142 26 102654 26 103168 28 103680 28 104194 28 104706 28 105220 28 105732 28 106248 26 106760 26 107274 26 107786 26 108300 28 108812 28 109326 28 109838 28 110352 28 110864 28 111378 28 111890 28 112406 26 112918 26 113432 26 113944 26 114458 24 114970 24 115484 22 115996 22 116510 20 117022 20 117538 14 118050 14 118564 10 119076 10
24,130628 12 131140 12 131650 12 132162 12 132672 14 133184 14 133696 12 134208 12 134718 12 135230 12 135740 12 136252 12 136764 10 137276 10 137784 12 138296 12 138800 18 139312 18 139822 18 140334 18 140844 18 141356 18 141868 16 142380 16 142892 14 143404 14 143918 10 144430 10 144946 2 145458 2
25,237514 6 238026 6 238524 20 239036 20 239538 30 240050 30 240286 10 240556 32 240798 10 241068 32 241308 22 241578 32 241820 22 242090 32 242332 38 242600 30 242844 38 243112 30 243356 40 243622 26 243868 40 244134 26 244380 42 244648 16 244892 42 245160 16 245404 42 245676 4 245916 42 246188 4 246428 42 246940 42 247456 4 247474 20 247968 4 247986 20 248502 16 249014 16 249530 10 250042 10
26,166778 10 167290 10 167800 14 168312 14 168822 16 169334 16 169846 16 170358 16 170868 20 171380 20 171892 20 172404 20 172916 20 173428 20 173938 22 174450 22 174962 22 175474 22 175986 22 176498 22 177008 22 177520 22 178032 22 178544 22 179056 22 179568 22 180080 22 180592 22 181104 20 181616 20 182126 22 182638 22 183150 22 183662 22 184174 22 184686 22 185198 22 185710 22 186222 20 186734 20 187246 20 187758 20 188270 20 188782 20 189294 20 189806 20 190320 18 190832 18 191344 16 191856 16 192368 16 192880 16 193392 16 193904 16 194416 16 194928 16 195440 16 195952 16 196464 16 196976 16 197488 16 198000 16 198512 14 199024 14 199534 16 200046 16 200558 16 201070 16 201582 16 202094 16 202606 16 203118 16 203630 16 204142 16 204654 16 205166 16 205676 18 206188 18 206700 18 207212 18 207724 18 208236 18 208748 18 209260 18 209772 18 210284 18 210794 20 211306 20 211818 20 212330 20 212842 20 213354 20 213866 20 214378 20 214890 18 215402 18 215912 20 216424 20 216936 20 217448 20 217960 20 218472 20 218986 16 219498 16 220010 16 220522 16 221036 12 221548 12 222064 6 222576 6
27,116346 4 116858 4 117368 8 117880 8 118392 10 118904 10 119414 14 119926 14 120438 16 120950 16 121462 18 121974 18 122486 18 122998 18 123512 18 124024 18 124536 18 125048 18 125562 16 126074 16 126588 14 127100 14 127614 10 128126 10 128642 4 129154 4
28,32426 4 32938 4 33448 6 33960 6 34470 10 34982 10 35490 14 36002 14 36512 16 37024 16 37534 20 38046 20 38556 22 39068 22 39580 22 40092 22 40604 22 41116 22 41628 22 42140 22 42652 22 43164 22 43678 20 44190 20 44704 18 45216 18 45728 16 46240 16 46754 14 47266 14 47782 10 48294 10 48808 10 49320 10 49836 4 50348 4 55988 4 56500 4 57014 4 57526 4 58038 2 58550 2
29,194252 4 194764 4 195270 14 195782 14 196292 18 196804 18 197312 22 197824 22 198332 28 198844 28 199352 32 199864 32 200374 34 200886 34 201394 36 201906 36 202414 38 202926 38 203436 38 203948 38 204456 38 204968 38 205474 40 205986 40 206494 42 207006 42 207514 42 208026 42 208536 38 209048 38 209558 36 210070 36 210580 32 211092 32 211604 28 212116 28 212626 26 213138 26 213650 24 214162 24 214674 20 215186 20 215700 16 216212 16 216726 6 217238 6
30,152528 4 153040 4 153550 6 154062 6 154574 6 155086 6 155596 8 156108 8 156620 6 157132 6 157644 4 158156 4 158666 6 159178 6 159690 4 160202 4 160714 2 161226 2 161736 2 162248 2 162758 4 163270 4 163780 6 164292 6 164804 6 165316 6 165824 10 166336 10 166846 10 167358 10 167868 12 168380 12 168890 14 169402 14 169912 16 170424 16 170934 16 171446 16 171958 16 172470 16 172980 16 173492 16 174004 16 174516 16 175028 14 175540 14 176050 14 176562 14 177074 12 177586 12 178100 8 178612 8 179124 6 179636 6
31,197230 8 197742 8 198252 14 198764 14 199274 18 199786 18 200296 22 200808 22 201320 24 201832 24 202344 26 202856 26 203368 28 203880 28 204392 30 204904 30 205416 32 205928 32 206442 34 206954 34 207468 36 207980 36 208494 36 209006 36 209520 36 210032 36 210546 36 211058 36 211572 36 212084 36 212600 32 213112 32 213626 28 214138 28 214654 24 215166 24 215682 18 216194 18 216710 10 217222 10
32,83556 22 84068 22 84578 30 85090 30 85600 34 86112 34 86624 36 87136 36 87646 38 88158 38 88670 38 89182 38 89694 38 90206 38 90718 38 91230 38 91742 38 92254 38 92766 38 93278 38 93790 38 94302 38 94814 38 95326 38 95838 38 96350 38 96862 38 97374 38 97886 36 98398 36 98910 36 99422 36 99934 36 100446 36 100958 36 101470 36 101982 36 102494 36 103006 36 103518 36 104030 36 104542 36 105054 36 105566 36 106078 36 106590 36 107102 36 107614 36 108126 36 108638 36 109150 36 109662 36 110174 36 110686 36 111198 36 111710 36 112222 36 112734 36 113246 36 113758 36 114270 36 114782 36 115294 36 115806 36 116318 36 116830 36 117342 36 117854 36 118366 36 118878 36 119390 34 119902 34 120414 34 120926 34 121438 34 121950 34 122462 34 122974 34 123486 34 123998 34 124510 34 125022 34 125534 32 126046 32 126558 32 127070 32 127582 32 128094 32 128606 32 129118 32 129630 32 130142 32 130654 32 131166 32 131678 32 132190 32 132700 34 133212 34 133724 34 134236 34 134748 34 135260 34 135772 34 136284 34 136796 34 137308 34 137820 32 138332 32 138844 32 139356 32 139868 32 140380 32 140892 32 141404 32 141916 30 142428 30 142942 28 143454 28 143966 26 144478 26 144990 26 145502 26 146016 22 146528 22 147042 16 147554 16 148070 8 148582 8
33,179836 4 180348 4 180856 12 181368 12 181876 18 182388 18 182898 20 183410 20 183918 26 184430 26 184940 28 185452 28 185960 30 186472 30 186980 32 187492 32 188000 28 188512 28 188996 12 189020 20 189508 12 189532 20 190014 44 190526 44 191034 44 191546 44 192052 46 192564 46 193070 48 193582 48 194086 52 194598 52 195104 54 195616 54 196122 58 196634 58 197142 58 197654 58 198164 58 198676 58 199186 54 199698 54 200208 48 200720 48 201232 40 201744 40 202256 36 202768 36 203282 28 203794 28 204308 22 204820 22 205336 12 205848 12
34,72314 4 72826 4 73336 6 73848 6 74358 10 74870 10 75382 10 75894 10 76406 12 76918 12 77430 14 77942 14 78456 14 78968 14 79480 16 79992 16 80502 18 81014 18 81526 20 82038 20 82552 20 83064 20 83576 22 84088 22 84602 22 85114 22 85628 20 86140 20 86654 20 87166 20 87680 20 88192 20 88706 18 89218 18 89730 20 90242 20 90754 22 91266 22 91780 22 92292 22 92806 20 93318 20 93832 20 94344 20 94858 20 95370 20 95884 18 96396 18 96910 16 97422 16 97936 14 98448 14 98964 8 99476 8
35,178044 6 178556 6 179064 12 179576 12 180086 16 180598 16 181108 20 181620 20 182132 20 182644 20 183156 20 183668 20 184180 22 184692 22 185204 22 185716 22 186228 22 186740 22 187252 22 187764 22 188276 22 188788 22 189300 22 189812 22 190326 20 190838 20 191350 20 191862 20 192374 20 192886 20 193398 20 193910 20 194424 18 194936 18 195448 20 195960 20 196472 20 196984 20 197496 20 198008 20 198522 20 199034 20 199546 20 200058 20 200372 6 200570 20 200884 6 201082 20 201394 6 201594 20 201906 6 202106 20 202416 6 202620 20 202928 6 203132 20 203644 18 204156 18 204668 18 205180 18 205694 16 206206 16 206720 12 207232 12 207746 8 208258 8 208772 2 209284 2
36,117432 2 117944 2 118448 14 118960 14 119468 20 119980 20 120492 20 121004 20 121514 24 122026 24 122538 24 123050 24 123560 26 124072 26 124584 26 125096 26 125608 26 126120 26 126632 26 127144 26 127656 26 128168 26 128680 24 129192 24 129704 24 130216 24 130728 24 131240 24 131752 24 132264 24 132776 24 133288 24 133798 24 134310 24 134822 24 135334 24 135846 24 136358 24 136870 24 137382 24 137894 24 138406 24 138918 24 139430 24 139940 26 140452 26 140964 26 141476 26 141988 26 142500 26 143012 26 143524 26 144036 26 144548 26 145060 26 145572 26 146084 26 146596 26 147106 28 147618 28 148130 28 148642 28 149154 26 149666 26 150178 26 150690 26 151202 26 151714 26 152226 26 152738 26 153250 26 153762 26 154272 28 154784 28 155296 26 155808 26 156320 26 156832 26 157342 28 157854 28 158366 28 158878 28 159390 28 159902 28 160414 28 160926 28 161438 28 161950 28 162462 28 162974 28 163486 30 163998 30 164512 28 165024 28 165538 24 166050 24 166564 22 167076 22 167590 16 168102 16 168618 8 169130 8
37,47806 4 48318 4 48826 16 49338 16 49848 20 50360 20 50872 22 51384 22 51894 26 52406 26 52918 26 53430 26 53942 28 54454 28 54966 28 55478 28 55990 28 56502 28 57016 26 57528 26 58040 28 58552 28 59064 28 59576 28 60090 26 60602 26 61114 26 61626 26 62140 24 62652 24 63164 24 63676 24 64190 24 64702 24 65214 26 65726 26 66240 26 66752 26 67264 26 67776 26 68290 26 68802 26 69314 26 69826 26 70340 24 70852 24 71364 24 71876 24 72390 24 72902 24 73416 22 73928 22 74442 20 74954 20 75466 22 75978 22 76492 20 77004 20 77518 18 78030 18 78542 20 79054 20 79568 18 80080 18 80592 16 81104 16 81618 14 82130 14 82642 12 83154 12 83668 6 84180 6
38,146070 14 146582 14 147082 28 147594 28 148098 36 148610 36 149118 40 149630 40 150140 44 150652 44 151162 46 151674 46 152184 46 152696 46 153208 46 153720 46 154232 44 154744 44 155256 42 155768 42 156282 38 156794 38 157308 28 157820 28 158334 18 158846 18
39,158338 8 158850 8 159360 12 159872 12 160382 14 160894 14 161404 16 161916 16 162426 18 162938 18 163448 20 163960 20 164470 22 164982 22 165492 22 166004 22 166516 22 167028 22 167538 22 168050 22 168560 24 169072 24 169584 22 170096 22 170606 22 171118 22 171628 24 172140 24 172652 22 173164 22 173674 22 174186 22 174696 22 175208 22 175720 22 176232 22 176742 22 177254 22 177764 22 178276 22 178788 20 179300 20 179812 16 180324 16 180838 10 181350 10
40,121486 8 121998 8 122508 12 123020 12 123530 16 124042 16 124552 18 125064 18 125576 18 126088 18 126598 18 127110 18 127622 18 128134 18 128644 18 129156 18 129668 18 130180 18 130690 20 131202 20 131714 18 132226 18 132736 20 133248 20 133760 18 134272 18 134784 18 135296 18 135808 16 136320 16 136830 18 137342 18 137854 16 138366 16 138878 16 139390 16 139902 14 140414 14 140928 10 141440 10 141952 8 142464 8
41,222090 10 222602 10 223112 12 223624 12 224136 14 224648 14 225158 16 225670 16 226182 16 226694 16 227204 18 227716 18 228228 18 228740 18 229252 18 229764 18 230274 18 230786 18 231298 18 231810 18 232320 20 232832 20 233344 18 233856 18 234366 20 234878 20 235390 20 235902 20 236412 20 236924 20 237434 22 237946 22 238458 22 238970 22 239480 22 239992 22 240504 22 241016 22 241526 24 242038 24 242550 22 243062 22 243572 24 244084 24 244596 22 245108 22 245620 20 246132 20 246646 18 247158 18 247672 14 248184 14
42,191050 6 191562 6 192072 10 192584 10 193094 14 193606 14 194118 16 194630 16 195142 18 195654 18 196164 22 196676 22 197186 26 197698 26 198210 28 198722 28 199232 32 199744 32 200256 34 200768 34 201278 38 201790 38 202302 40 202814 40 203326 42 203838 42 204350 44 204862 44 205376 46 205888 46 206402 46 206914 46 207428 46 207940 46 208456 44 208968 44 209484 42 209996 42 210510 42 211022 42 211536 42 212048 42 212562 42 213074 42 213590 40 214102 40 214616 40 215128 40 215644 38 216156 38 216670 38 217182 38 217698 36 218210 36 218724 36 219236 36 219752 34 220264 34 220778 36 221290 36 221806 34 222318 34 222834 32 223346 32 223860 32 224372 32 224884 34 225396 34 225910 36 226422 36 226936 36 227448 36 227960 36 228472 36 228986 36 229498 36 230012 34 230524 34 231038 30 231550 30 232064 28 232576 28 233092 22 233604 22 234116 22 234628 22 235140 20 235652 20 236164 20 236676 20 237188 18 237700 18 238212 18 238724 18 239234 18 239746 18 240256 18 240768 18 241278 16 241790 16 242302 10 242814 10 243326 2 243838 2
43,133660 12 134172 12 134682 18 135194 18 135704 24 136216 24 136726 30 137238 30 137750 38 138262 38 138774 42 139286 42 139798 44 140310 44 140824 42 141336 42 141852 38 142364 38 142880 34 143392 34 143910 26 144422 26 144938 22 145450 22 145966 16 146478 16 146992 14 147504 14 148020 8 148532 8
44,136886 12 137398 12 137906 20 138418 20 138924 26 139436 26 139934 40 140446 40 140938 60 141450 60 141956 66 142468 66 142976 70 143488 70 143998 72 144510 72 145022 72 145534 72 146046 70 146558 70 147070 68 147582 68 148094 66 148606 66 149118 64 149630 64 150142 58 150654 58 151168 36 151680 36 152194 16 152706 16 153222 4 153734 4
45,135884 10 136396 10 136906 14 137418 14 137926 20 138438 20 138948 22 139460 22 139968 28 140480 28 140990 32 141502 32 142010 36 142522 36 143032 40 143544 40 144052 44 144564 44 145072 50 145584 50 146092 54 146604 54 147114 58 147626 58 148134 64 148646 64 149154 68 149666 68 150172 76 150684 76 151192 80 151704 80 152212 84 152724 84 153232 88 153744 88 154252 90 154764 90 155272 92 155784 92 156290 94 156802 94 157310 94 157822 94 158328 94 158840 94 159348 92 159860 92 160366 94 160878 94 161386 94 161898 94 162406 94 162918 94 163426 94 163938 94 164448 92 164960 92 165470 90 165982 90 166492 86 167004 86 167516 82 168028 82 168538 78 169050 78 169562 72 170074 72 170586 66 171098 66 171610 62 172122 62 172636 54 173148 54 173660 50 174172 50 174686 44 175198 44 175710 40 176222 40 176736 34 177248 34 177762 26 178274 26 178790 16 179302 16
46,49898 8 50410 8 50920 12 51432 12 51942 16 52454 16 52964 18 53476 18 53988 20 54500 20 55012 20 55524 20 56036 20 56548 20 57060 20 57572 20 58082 20 58594 20 59106 20 59618 20 60130 20 60642 20 61154 20 61666 20 62178 20 62690 20 63202 18 63714 18 64226 18 64738 18 65250 18 65762 18 66274 18 66786 18 67298 18 67810 18 68322 18 68834 18 69346 18 69858 18 70370 20 70882 20 71394 20 71906 20 72418 20 72930 20 73442 20 73954 20 74466 20 74978 20 75490 20 76002 20 76514 20 77026 20 77538 20 78050 20 78562 20 79074 20 79586 18 80098 18 80612 16 81124 16 81636 14 82148 14 82662 12 83174 12 83686 10 84198 10
